id;name;number;low_fat_dairy_unit;medium_fat_dairy_unit;high_fat_dairy_unit;low_fat_meat_unit;medium_fat_meat_unit;high_fat_meat_unti;bread_unit;cereal_unit;rice_unit;pasta_unit;fruit_unit;vegetable_unit;fat_unit
1;Rustic Handmade Pants;39407;1384;9329;56981;87445;41735;71588;81152;47548;37831;84045;48231;41810;91007
2;Global National multi-byte;6180;75942;205;74252;16522;41811;98114;39418;64667;20919;79636;10226;61364;97793
3;Stand-alone;84724;71653;59493;5944;77480;55717;81224;79521;20192;50947;60181;45759;17008;16919
4;Kentucky programming Assimilated;39149;64364;2009;72823;19075;95391;71368;72352;2384;5201;37337;36771;46520;86633
5;Belarussian Ruble;40648;17153;32805;47184;15662;34551;39433;98649;42849;99010;62347;6708;45188;86978
6;Devolved bus;86874;97690;72119;56940;12250;8478;58924;81602;13121;66144;84158;81049;76919;26530
7;Configuration revolutionary user-facing;96587;53472;89564;68245;85720;54758;76568;37667;90073;55360;75226;85927;96933;893
8;architecture Legacy Auto Loan Account;41694;61316;86261;77853;38752;80148;90758;36835;39265;98754;15011;13358;76942;6767
9;task-force architecture;63242;53151;89169;22218;31270;41352;86453;47297;68051;12865;14118;80648;88982;32106
10;gold Throughway transmitting;51934;77113;13047;75490;49136;29070;60647;63872;57697;2556;53365;23799;53095;79342
