id;name;muscle_name;muscle_type;equipment;picture;picture_content_type
1;back-end Nepal;yellow 24/365 Officer;SHOULDER;Fantastic Configuration;../fake-data/blob/hipster.png;image/png
2;Towels Reverse-engineered Integration;SQL;LATERAL;Shoes Bedfordshire;../fake-data/blob/hipster.png;image/png
3;Bosnia and Herzegovina override;deposit contingency;BICEP;innovative;../fake-data/blob/hipster.png;image/png
4;vertical;PCI HDD;CHEST;virtual Wyoming;../fake-data/blob/hipster.png;image/png
5;Strategist;multimedia;BICEP;hack;../fake-data/blob/hipster.png;image/png
6;parsing AGP;Gourde US Dollar;BICEP;Overpass collaborative;../fake-data/blob/hipster.png;image/png
7;Small Cotton Pizza structure Personal Loan Account;functionalities withdrawal;TRAPEZOID;copying Home Loan Account Rustic;../fake-data/blob/hipster.png;image/png
8;pixel relationships;Assistant reinvent;CHEST;Chips digital mobile;../fake-data/blob/hipster.png;image/png
9;Toys partnerships;bluetooth;HAMSTRING;Ergonomic open-source tertiary;../fake-data/blob/hipster.png;image/png
10;multi-byte Incredible Soft Chicken;Producer CSS;TRAPEZOID;withdrawal cross-platform;../fake-data/blob/hipster.png;image/png
