id;name;description;token;price;image;image_content_type
1;Mountains e-markets;Berkshire Ouguiya web services;83911;59915;../fake-data/blob/hipster.png;image/png
2;auxiliary;Manors Parkways;19627;90294;../fake-data/blob/hipster.png;image/png
3;incubate adapter EXE;Infrastructure Cotton;80439;5279;../fake-data/blob/hipster.png;image/png
4;Designer Auto Loan Account pink;Malaysia Hat mobile;56581;13491;../fake-data/blob/hipster.png;image/png
5;Checking Account Movies experiences;Brand;41572;87185;../fake-data/blob/hipster.png;image/png
6;global leverage Colorado;indexing;74119;62563;../fake-data/blob/hipster.png;image/png
7;neural Vermont;Sausages;63772;86500;../fake-data/blob/hipster.png;image/png
8;multi-byte Berkshire;calculating leverage product;50088;12143;../fake-data/blob/hipster.png;image/png
9;Saint Helena Pound;Illinois Personal Loan Account;50271;53703;../fake-data/blob/hipster.png;image/png
10;Personal Loan Account bandwidth;Intuitive Vanuatu maximized;46692;93288;../fake-data/blob/hipster.png;image/png
