id;name;description;token;price;image;image_content_type;orderable
1;Dynamic Unbranded Cotton Hat;Illinois generate;94276;43099;../fake-data/blob/hipster.png;image/png;true
2;Buckinghamshire grow sensor;transmitting multi-byte;61814;17009;../fake-data/blob/hipster.png;image/png;true
3;markets purple;Avon;87154;49757;../fake-data/blob/hipster.png;image/png;true
4;incubate;payment;37741;41519;../fake-data/blob/hipster.png;image/png;true
5;Lead innovate Manager;blue;14281;2410;../fake-data/blob/hipster.png;image/png;true
6;Specialist Republic of Korea;withdrawal Function-based Direct;19973;70071;../fake-data/blob/hipster.png;image/png;true
7;Optimization Table deposit;feed;33841;76464;../fake-data/blob/hipster.png;image/png;false
8;solid state;Small Soft Mouse;64358;20970;../fake-data/blob/hipster.png;image/png;true
9;connecting back up Berkshire;Walks Kids South Carolina;42750;84809;../fake-data/blob/hipster.png;image/png;true
10;Executive COM;Cape Bedfordshire Rustic Soft Cheese;85860;54559;../fake-data/blob/hipster.png;image/png;false
