id;name;description;token;price;image;image_content_type
1;Square Product;open architecture;52688;17803;../fake-data/blob/hipster.png;image/png
2;Somali Shilling;Computer Cotton;52106;9297;../fake-data/blob/hipster.png;image/png
3;empowering;withdrawal;74213;7049;../fake-data/blob/hipster.png;image/png
4;bluetooth hack Garden;Licensed Granite Fish;99806;61669;../fake-data/blob/hipster.png;image/png
5;Planner;Rhode Island;18930;97363;../fake-data/blob/hipster.png;image/png
6;Cambridgeshire reintermediate envisioneer;engineer;83976;63011;../fake-data/blob/hipster.png;image/png
7;leverage Kids;Small Plastic Salad;5771;37947;../fake-data/blob/hipster.png;image/png
8;exploit;Parkways Small Forward;13729;87507;../fake-data/blob/hipster.png;image/png
9;Rustic;Global Sri Lanka Rupee Tactics;72028;877;../fake-data/blob/hipster.png;image/png
10;Zimbabwe Synchronised copy;connect;51343;78115;../fake-data/blob/hipster.png;image/png
