id;title;description;text;thumbnail;thumbnail_content_type;token_price
1;syndicate circuit;Strategist;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;50476
2;Shoes;unleash;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;99701
3;RSS Personal Loan Account;Garden;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;27143
4;Web;Union;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;75785
5;Group;Swedish Krona AGP Rustic Cotton Salad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;28654
6;Corporate Jewelery;Research;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;51279
7;Central Chair Producer;Regional utilize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;67080
8;array capacitor;Handcrafted Soft Chicken;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;86293
9;Quality firewall THX;Tasty Granite Chair;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;78761
10;Awesome Cotton Shirt Personal Loan Account;driver Small Bedfordshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;27770
