id;name;number;low_fat_dairy_unit;medium_fat_dairy_unit;high_fat_dairy_unit;low_fat_meat_unit;medium_fat_meat_unit;high_fat_meat_unit;bread_unit;cereal_unit;rice_unit;pasta_unit;fruit_unit;vegetable_unit;fat_unit
1;SAS SMS input;16767;69055;99913;23395;18515;79549;4503;23833;20269;78833;66725;50040;46913;63808
2;Avon;91558;52215;13203;16940;67784;61329;15011;91636;3199;32667;99500;30010;14506;23516
3;Money Market Account;81590;14037;37593;18218;20296;73609;13631;55037;77008;44714;58145;50141;89767;37390
4;Chair;63949;79129;41242;14540;24624;41405;56036;20330;49683;10854;9786;50821;89974;34987
5;Baby;8777;80625;34190;16601;71250;88303;12033;36279;80484;56324;51412;84690;83818;40412
6;pricing structure Refined;69520;16644;60388;68687;51816;56957;60664;15702;15542;37826;78814;10780;89466;36139
7;Rand Namibia Dollar panel Licensed;77826;94778;3925;71015;37155;61632;66495;78546;28711;57770;57428;16428;84132;6711
8;programming Fresh payment;79938;19337;46155;34815;31119;53933;66099;17128;83469;69889;42306;3531;32894;71381
9;enterprise metrics radical;52756;49257;72842;21402;5580;98052;63698;93849;55115;58340;6545;18461;83585;30980
10;Djibouti;72198;52786;99330;92979;37623;27551;32034;58577;1801;83821;31862;89551;53860;73413
