id;name;description;token;price;image;image_content_type;orderable
1;Small Soft Integration;deposit brand withdrawal;4523;22047;../fake-data/blob/hipster.png;image/png;false
2;XSS firewall;parsing Saint Helena Pound AI;11223;14960;../fake-data/blob/hipster.png;image/png;true
3;hardware productize;Director flexibility;67624;60745;../fake-data/blob/hipster.png;image/png;true
4;tangible cyan Buckinghamshire;RSS Progressive matrix;53776;54698;../fake-data/blob/hipster.png;image/png;false
5;Wisconsin systems;Gourde US Dollar Awesome Coordinator;21486;903;../fake-data/blob/hipster.png;image/png;true
6;redundant;ADP;39697;78857;../fake-data/blob/hipster.png;image/png;false
7;COM 1080p Savings Account;interfaces Credit Card Account Steel;86216;63378;../fake-data/blob/hipster.png;image/png;true
8;plum hack;Oregon Product;14022;48399;../fake-data/blob/hipster.png;image/png;false
9;Automotive;Naira Cape Verde Escudo Supervisor;24584;57596;../fake-data/blob/hipster.png;image/png;false
10;embrace parse;Garden Direct;1855;78727;../fake-data/blob/hipster.png;image/png;true
