id;title;description;text;thumbnail;thumbnail_content_type;token_price;adjust_tutorial_id
1;Money Market Account bifurcated;programming;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2864;89807
2;Analyst Cocos (Keeling) Islands auxiliary;navigate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;65614;69367
3;invoice;TCP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;91915;72961
4;distributed;lime Executive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;38138;83716
5;Illinois District cyan;Dong 24/365;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;7777;36131
6;Concrete Handmade;SCSI discrete Officer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;89715;35465
7;circuit Christmas Island;Tanzania Borders;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;95803;74703
8;Concrete connecting;emulation Money Market Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;24328;73747
9;next generation;California;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;7143;83531
10;Massachusetts;Books;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;38555;67133
